Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Rise of Totalitarianism and World War II (1930s-1945),W.49,"Describe the persecution of Jews and other targeted groups in Europe leading up to World War II, and explain why many people were unable to leave and their efforts to resist persecution.",Yes,"Nazi anti-Jewish boycott and Kristallnacht, 1933-1938",Photograph,official/press photographers,1933-1938,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Nazi+anti-Jewish+boycott+Kristallnacht+1938,search,"Nazi persecution of Jews, 1933-1938. U.S. National Archives.",Photograph of the 1933 anti-Jewish boycott or 1938 Kristallnacht damage.,NO,SSP.01; SSP.02; SSP.05,Verify item rights (captured German records generally PD).,OK
Rise of Totalitarianism and World War II (1930s-1945),W.49,"Describe the persecution of Jews and other targeted groups in Europe leading up to World War II, and explain why many people were unable to leave and their efforts to resist persecution.",Yes,The Nuremberg Laws (1935),Law/chart (document),Nazi Germany,1935,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Nuremberg+Laws+1935+racial+chart,search,"The Nuremberg Laws, 1935. U.S. National Archives.",Nazi racial classification chart under the 1935 Nuremberg Laws.,NO,SSP.01; SSP.02; SSP.04,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.50,"Explain the state-sponsored mass murder of the Jews in Nazi-controlled lands, and describe the varied experiences of Holocaust survivors and victims.",Yes,"Liberation of Nazi concentration camps, 1945",Photograph,U.S. Army Signal Corps,1945,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=liberation+concentration+camps+1945,search,"Liberation of Nazi concentration camps, 1945. U.S. National Archives.","U.S. troops and survivors at a liberated concentration camp, 1945.",NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.50,"Explain the state-sponsored mass murder of the Jews in Nazi-controlled lands, and describe the varied experiences of Holocaust survivors and victims.",Yes,"Warsaw Ghetto and ghetto uprising, 1943",Photograph,official records,1940-1943,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Warsaw+Ghetto+uprising+1943,search,"The Warsaw Ghetto, 1943. U.S. National Archives.",Photograph from the Warsaw Ghetto and 1943 uprising.,NO,SSP.01; SSP.02; SSP.05,"Verify item rights (Stroop Report images are captured records, PD).",OK
Rise of Totalitarianism and World War II (1930s-1945),W.51,"Explain the decisions made in the Atlantic Charter and at the Tehran, Yalta, and Potsdam Conferences.",Yes,The Atlantic Charter (1941),Joint declaration (text),Franklin D. Roosevelt & Winston Churchill,1941,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/wwii/atlantic.asp,canonical,"The Atlantic Charter, 1941. The Avalon Project, Yale Law School.",Text of the 1941 Atlantic Charter.,NO,SSP.01; SSP.02; SSP.04,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.51,"Explain the decisions made in the Atlantic Charter and at the Tehran, Yalta, and Potsdam Conferences.",Yes,Protocol of the Yalta (Crimea) Conference (1945),Agreement (text),"U.S., U.K., U.S.S.R.",1945,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/wwii/yalta.asp,canonical,"Yalta Conference Agreement, 1945. The Avalon Project, Yale Law School.",Text of the Yalta Conference protocol.,NO,SSP.01; SSP.02; SSP.04,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.51,"Explain the decisions made in the Atlantic Charter and at the Tehran, Yalta, and Potsdam Conferences.",Yes,Tehran and Potsdam conference records,Agreement (text),Allied leaders,1943-1945,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=Tehran+Potsdam+conference,search,"Tehran and Potsdam conferences. U.S. Dept. of State, Office of the Historian.",Documents from the Tehran (1943) and Potsdam (1945) conferences.,NO,SSP.01; SSP.02; SSP.04,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.52,"Describe the development of atomic bombs, and evaluate both the decisions to use them and the impact of their use.",Yes,"Atomic bombing of Hiroshima and Nagasaki, 1945",Photograph,U.S. military,1945,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Hiroshima+Nagasaki+atomic+bomb+1945,search,"Atomic bombings of Hiroshima and Nagasaki, 1945. U.S. National Archives.",Mushroom cloud and destruction from the 1945 atomic bombings.,NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.52,"Describe the development of atomic bombs, and evaluate both the decisions to use them and the impact of their use.",Yes,Trinity test and the Manhattan Project,Photograph,U.S. government / Manhattan Engineer District,1942-1945,U.S. Department of Energy,Public domain (U.S. federal government work),Yes,https://www.energy.gov/search?query=Manhattan+Project+Trinity+test,search,The Manhattan Project and Trinity test. U.S. Department of Energy.,"Photograph of the first atomic (Trinity) test, July 1945.",NO,SSP.01; SSP.02,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.53,"Describe the cultural, economic, geographic, and political effects of World War II, including: Casualties of the war (military and civilian); Changes to geopolitical boundaries; Creation of the United Nations; Destruction of cultural heritage; Division of Germany; Impact of the Nuremberg trials; Refugees and displaced populations",Yes,"The Nuremberg Trials, 1945-46",Photograph,U.S. Army / official photographers,1945-1946,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Nuremberg+Trials+1945+1946+defendants,search,"The Nuremberg Trials, 1945-46. U.S. National Archives.",Nazi defendants in the dock at the Nuremberg Trials.,NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.53,"Describe the cultural, economic, geographic, and political effects of World War II, including: Casualties of the war (military and civilian); Changes to geopolitical boundaries; Creation of the United Nations; Destruction of cultural heritage; Division of Germany; Impact of the Nuremberg trials; Refugees and displaced populations",Yes,Founding of the United Nations / UN Charter (1945),Photograph / document,United Nations Conference,1945,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=United+Nations+founding+1945+San+Francisco,search,"Founding of the United Nations, 1945. Office of the Historian, U.S. Dept. of State.",Delegates at the 1945 San Francisco conference founding the UN.,NO,SSP.01; SSP.02,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.54,"Summarize the nature of reconstruction in Europe after 1945, including both the economic and political purposes of the Marshall Plan.",Yes,"The Marshall Plan (Harvard commencement address, 1947)",Speech (text),George C. Marshall,1947,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/marshall.asp,canonical,"George C. Marshall, Marshall Plan speech, 1947. The Avalon Project, Yale Law School.",Text of Marshall's 1947 speech proposing European recovery aid.,NO,SSP.01; SSP.02; SSP.04,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.54,"Summarize the nature of reconstruction in Europe after 1945, including both the economic and political purposes of the Marshall Plan.",Yes,Marshall Plan / European Recovery Program poster,Poster,Economic Cooperation Administration,1948-1951,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=Marshall+Plan+European+Recovery+Program+poster,search,"Marshall Plan (ERP) poster, c.1948. Library of Congress.",Poster promoting the Marshall Plan's rebuilding of Europe.,NO,SSP.01; SSP.02,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.55,"Explain the origins and significance of the establishment of the State of Israel, and describe the reactions by surrounding Arab countries to the United Nations' decision to establish Israel.",Yes,"UN Partition Plan for Palestine (Resolution 181), 1947",Resolution/map (document),United Nations General Assembly,1947,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=Israel+creation+1948+partition+Palestine,search,"Creation of Israel and the 1947 UN Partition Plan. Office of the Historian, U.S. Dept. of State.",Map and text of the 1947 UN plan to partition Palestine.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.55,"Explain the origins and significance of the establishment of the State of Israel, and describe the reactions by surrounding Arab countries to the United Nations' decision to establish Israel.",Yes,Map of the 1947 UN partition of Palestine,Map,1947 cartographers,1947-1948,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Palestine+partition+map+1947+Israel,search,"Map of the UN partition of Palestine, 1947. Library of Congress.",Map showing proposed Jewish and Arab states in 1947.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.56,"Describe the economic and military power shift at the end of World War II, such as Soviet control over Eastern Europe and the economic recoveries of Germany and Japan.",Yes,"""Sinews of Peace"" (Iron Curtain speech), 1946",Speech (text),Winston Churchill,1946,"U.S. Dept. of State, Office of the Historian",Public domain — verify individual item at repository,Yes,https://history.state.gov/search?q=Churchill+Iron+Curtain+1946+Sinews+of+Peace,search,"Winston Churchill, ""Sinews of Peace"" (Iron Curtain speech), 1946. Office of the Historian.",Text of Churchill's 1946 Iron Curtain speech.,NO,SSP.01; SSP.02; SSP.04,Verify best PD host; text widely reproduced by U.S. gov sources.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.56,"Describe the economic and military power shift at the end of World War II, such as Soviet control over Eastern Europe and the economic recoveries of Germany and Japan.",Yes,Map of Cold War divided Europe / Iron Curtain,Map,postwar cartographers,c. 1946-1955,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Iron+Curtain+divided+Europe+map+Cold+War,search,Map of Cold War Europe divided by the Iron Curtain. Library of Congress.,Map showing the Iron Curtain dividing East and West Europe.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.57,"Analyze the rise of communism and Mao Zedong in China, as well as the related political, social, and economic impacts on China.",Yes,"Founding of the People's Republic of China, 1949",Photograph,contemporary photographers,1949,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Mao+Zedong+founding+People%27s+Republic+China+1949,search,"Founding of the People's Republic of China, 1949. Library of Congress.",Mao Zedong proclaiming the People's Republic of China in 1949.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,OK
Cold War (1945-1991),W.57,"Analyze the rise of communism and Mao Zedong in China, as well as the related political, social, and economic impacts on China.",Yes,Chinese Communist propaganda poster,Poster,Chinese state artists,1950s-1970s,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Chinese+Communist+propaganda+poster+Mao,search,Chinese Communist propaganda poster. Library of Congress.,Propaganda poster glorifying Mao and the Communist Party.,NO,SSP.01; SSP.02,Rights caution: PRC posters likely still under copyright — verify before commercial use.,REVIEW: confirm commercial license
Cold War (1945-1991),W.58,"Describe the characteristics of the Cold War, and explain reasons for the rising tensions between the Soviet Union and former Allied powers.",Yes,The Truman Doctrine (1947),Speech (text),Harry S. Truman,1947,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/trudoc.asp,canonical,"Harry S. Truman, Truman Doctrine speech, 1947. The Avalon Project, Yale Law School.",Text of the 1947 Truman Doctrine speech on containment.,NO,SSP.01; SSP.02; SSP.04,,OK
Cold War (1945-1991),W.58,"Describe the characteristics of the Cold War, and explain reasons for the rising tensions between the Soviet Union and former Allied powers.",Yes,Early Cold War political cartoon / containment map,Cartoon / map,late 1940s sources,1947-1950,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Cold+War+containment+cartoon+Soviet+Union,search,Early Cold War cartoon. Library of Congress.,Cartoon depicting U.S.-Soviet Cold War rivalry.,NO,SSP.01; SSP.02,Verify item rights.,OK
Cold War (1945-1991),W.59,"Summarize the functions of the Warsaw Pact and NATO, including their roles in organizing post-war Europe.",Yes,"The North Atlantic Treaty (NATO), 1949",Treaty (text),North Atlantic signatories,1949,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/nato.asp,canonical,"The North Atlantic Treaty, 1949. The Avalon Project, Yale Law School.",Text of the 1949 treaty establishing NATO.,NO,SSP.01; SSP.02; SSP.04,,OK
Cold War (1945-1991),W.59,"Summarize the functions of the Warsaw Pact and NATO, including their roles in organizing post-war Europe.",Yes,The Warsaw Security Pact (1955),Treaty (text),Soviet bloc states,1955,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/warsaw.asp,canonical,"The Warsaw Pact, 1955. The Avalon Project, Yale Law School.",Text of the 1955 treaty establishing the Warsaw Pact.,NO,SSP.01; SSP.02; SSP.04,,OK
Cold War (1945-1991),W.60,Describe methods of Soviet control in Eastern Europe and the role of Berlin as a focal point in escalating Cold War tensions.,Yes,"The Berlin Airlift, 1948-49",Photograph,U.S. Air Force,1948-1949,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Berlin+Airlift+1948+1949,search,"The Berlin Airlift, 1948-49. U.S. National Archives.",C-54 aircraft delivering supplies during the Berlin Airlift.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.60,Describe methods of Soviet control in Eastern Europe and the role of Berlin as a focal point in escalating Cold War tensions.,Yes,"Construction of the Berlin Wall, 1961",Photograph,U.S. Army / official photographers,1961,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Berlin+Wall+construction+1961,search,"The Berlin Wall, 1961. U.S. National Archives.",Photograph of the Berlin Wall dividing the city.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.61,"Explain the role of the nuclear arms race, mutual assured destruction, and arms control agreements within the context of rising tensions between the Soviet Union and U.S.",Yes,U.S. nuclear weapons test photographs,Photograph,U.S. government,1946-1962,U.S. Department of Energy,Public domain (U.S. federal government work),Yes,https://www.energy.gov/search?query=nuclear+weapons+test,search,U.S. nuclear weapons tests. U.S. Department of Energy.,Photograph of an atmospheric nuclear test detonation.,NO,SSP.01; SSP.02,,OK
Cold War (1945-1991),W.61,"Explain the role of the nuclear arms race, mutual assured destruction, and arms control agreements within the context of rising tensions between the Soviet Union and U.S.",Yes,"Cuban Missile Crisis reconnaissance photographs, 1962",Photograph,U.S. Air Force / CIA,1962,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Cuban+Missile+Crisis+reconnaissance+1962,search,"Cuban Missile Crisis U-2 reconnaissance photographs, 1962. U.S. National Archives.",Aerial reconnaissance photo of Soviet missile sites in Cuba.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.62,"Describe examples of national uprisings against the Soviet Union (e.g., Hungary and Czechoslovakia), and explain why they were unsuccessful.",Yes,Hungarian Uprising of 1956,Photograph,press photographers,1956,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Hungarian+Revolution+1956+uprising,search,"The Hungarian Uprising, 1956. U.S. National Archives.",Photograph of protesters and tanks during the 1956 Hungarian Uprising.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,OK
Cold War (1945-1991),W.62,"Describe examples of national uprisings against the Soviet Union (e.g., Hungary and Czechoslovakia), and explain why they were unsuccessful.",Yes,"Prague Spring, 1968",Photograph,press photographers,1968,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Prague+Spring+1968+Czechoslovakia+invasion,search,"The Prague Spring, 1968. Library of Congress.",Photograph of Soviet tanks in Prague during the 1968 invasion.,NO,SSP.01; SSP.02; SSP.05,Rights caution: 1968 press photos may still be under copyright — verify.,REVIEW: confirm commercial license
Cold War (1945-1991),W.63,"Describe the competition in Asia between the Soviet Union and U.S., including the wars in Korea and Vietnam as examples of proxy wars.",Yes,"The Korean War, 1950-53",Photograph,U.S. Army / Dept. of Defense,1950-1953,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Korean+War+1950+1953,search,"The Korean War, 1950-53. U.S. National Archives.",Photograph of U.S. and UN troops during the Korean War.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.63,"Describe the competition in Asia between the Soviet Union and U.S., including the wars in Korea and Vietnam as examples of proxy wars.",Yes,The Vietnam War,Photograph,U.S. military / Dept. of Defense,1955-1975,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Vietnam+War+combat,search,The Vietnam War. U.S. National Archives.,Photograph of U.S. troops in the Vietnam War.,NO,SSP.01; SSP.02; SSP.06,,OK
Cold War (1945-1991),W.64,"Explain reasons for the rapid decline of communist systems in the late 1980s, including: Economic inefficiency; Unsustainable military spending; Mikhail Gorbachev's reforms; Mass protests in Eastern Europe and China; 1991 Soviet coup d'état",Yes,"Fall of the Berlin Wall, 1989",Photograph,U.S. government / press,1989,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=fall+of+the+Berlin+Wall+1989,search,"Fall of the Berlin Wall, 1989. U.S. National Archives.",People atop and dismantling the Berlin Wall in 1989.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,OK
Cold War (1945-1991),W.64,"Explain reasons for the rapid decline of communist systems in the late 1980s, including: Economic inefficiency; Unsustainable military spending; Mikhail Gorbachev's reforms; Mass protests in Eastern Europe and China; 1991 Soviet coup d'état",Yes,Reagan-Gorbachev summits,Photograph,White House / U.S. government,1985-1988,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Reagan+Gorbachev+summit,search,Reagan-Gorbachev summits. U.S. National Archives.,Photograph of Reagan and Gorbachev at a Cold War summit.,NO,SSP.01; SSP.02,,OK
Cold War (1945-1991),W.65,"Analyze the political, economic, social, and geographic consequences of the collapse of communist governments in the Soviet Union and Eastern Europe.",Yes,"Dissolution of the Soviet Union, 1991",Photograph,U.S. government / press,1991,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=dissolution+Soviet+Union+1991,search,"The dissolution of the Soviet Union, 1991. U.S. National Archives.",Photograph from the 1991 collapse of the Soviet Union.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,OK
Cold War (1945-1991),W.65,"Analyze the political, economic, social, and geographic consequences of the collapse of communist governments in the Soviet Union and Eastern Europe.",Yes,Map of the former Soviet republics,Map,U.S. government cartographers,1990s,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=former+Soviet+republics+map+1991,search,Map of the former Soviet republics after 1991. Library of Congress.,Map showing the fifteen successor states of the USSR.,NO,SSP.01; SSP.02; SSP.06,,OK
Creation of New States and Decolonization (1940s-1980s),W.66,Explain the push and pull factors of migration.,Yes,Immigrants arriving at Ellis Island,Photograph,U.S. government / press,c. 1900-1920,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=immigrants+Ellis+Island+arriving,search,"Immigrants at Ellis Island, early 20th c. Library of Congress.",Photograph of immigrants arriving at Ellis Island.,NO,SSP.01; SSP.02; SSP.06,Illustrates push/pull migration; pair with a refugee example.,OK
Creation of New States and Decolonization (1940s-1980s),W.66,Explain the push and pull factors of migration.,Yes,Emigrants / refugees departing by ship,Photograph,early 20th-c. photographers,c. 1900-1920,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=emigrants+ship+departure+Europe,search,Emigrants departing Europe by ship. NYPL Digital Collections.,Photograph of emigrants boarding a ship to leave their homeland.,NO,SSP.01; SSP.02; SSP.06,,OK
Creation of New States and Decolonization (1940s-1980s),W.67,Explain the reasons for and the effects of the partition of the Indian subcontinent into India and Pakistan in 1947.,Yes,"Partition of India refugee migration, 1947",Photograph,press photographers,1947,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Partition+India+Pakistan+1947+refugees,search,"The Partition of India, 1947. Library of Congress.",Photograph of mass refugee migration during the 1947 Partition.,NO,SSP.01; SSP.02; SSP.05,Rights caution: 1947 press photos may still be under copyright — verify.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.67,Explain the reasons for and the effects of the partition of the Indian subcontinent into India and Pakistan in 1947.,Yes,"Map of the partition of British India, 1947",Map,1947 cartographers,1947,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=India+Pakistan+partition+map+1947+Radcliffe,search,"Map of the partition of British India, 1947. Library of Congress.",Map showing the division of India into India and Pakistan.,NO,SSP.01; SSP.02; SSP.06,,OK
Creation of New States and Decolonization (1940s-1980s),W.68,"Explain the factors that led to the creation of a lasting democratic government in India as well as the roles of political leaders (e.g., Mohandas Gandhi, Jawaharlal Nehru, Indira Gandhi).",Yes,"Gandhi and the Salt March, 1930",Photograph,press photographers,1930,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Gandhi+Salt+March+1930,search,"Mohandas Gandhi and the Salt March, 1930. Library of Congress.",Photograph of Gandhi leading the 1930 Salt March.,NO,SSP.01; SSP.02; SSP.05,Rights caution: verify individual photo; some 1930 press images remain under copyright.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.68,"Explain the factors that led to the creation of a lasting democratic government in India as well as the roles of political leaders (e.g., Mohandas Gandhi, Jawaharlal Nehru, Indira Gandhi).",Yes,"Jawaharlal Nehru and Indian independence, 1947",Photograph,press/official photographers,1947,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Nehru+Indian+independence+1947,search,"Jawaharlal Nehru at Indian independence, 1947. Library of Congress.",Photograph of Nehru marking India's 1947 independence.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.69,"Describe the development, goals, and outcomes of nationalist movements in Africa, including the ideas and roles of nationalist leaders (e.g., Jomo Kenyatta, Patrice Lumumba, and Gamal Abdel Nasser).",Yes,"African independence leaders (Nkrumah, Kenyatta, Lumumba)",Photograph,press/official photographers,1950s-1960s,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=African+independence+leaders+Nkrumah+Kenyatta,search,"African independence leaders, 1950s-60s. Library of Congress.",Photograph of African nationalist leaders at independence.,NO,SSP.01; SSP.02; SSP.05,Rights caution: mid-century press photos may still be under copyright — verify.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.69,"Describe the development, goals, and outcomes of nationalist movements in Africa, including the ideas and roles of nationalist leaders (e.g., Jomo Kenyatta, Patrice Lumumba, and Gamal Abdel Nasser).",Yes,"Nasser and the nationalization of the Suez Canal, 1956",Photograph,U.S. government / press,1956,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Nasser+Suez+Canal+nationalization+1956,search,"Gamal Abdel Nasser and the Suez Crisis, 1956. U.S. National Archives.",Photograph related to Nasser's 1956 nationalization of the Suez Canal.,NO,SSP.01; SSP.02; SSP.05,,OK
Creation of New States and Decolonization (1940s-1980s),W.70,"Explain the fight against and dismantling of the apartheid system in South Africa, including the roles of Nelson Mandela and the African National Congress.",Yes,"Apartheid ""petty apartheid"" segregation signage",Photograph,press/UN photographers,1950s-1980s,United Nations (hosted via *.edu archive),Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=apartheid+South+Africa+segregation+sign,search,"Apartheid segregation signage, South Africa. Library of Congress.","Photograph of ""whites only"" apartheid segregation signs.",NO,SSP.01; SSP.02,Rights caution: verify individual photo before commercial use.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.70,"Explain the fight against and dismantling of the apartheid system in South Africa, including the roles of Nelson Mandela and the African National Congress.",Yes,Anti-apartheid movement and Nelson Mandela,Photograph,press photographers,1980s-1990s,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=anti-apartheid+Nelson+Mandela+protest,search,The anti-apartheid movement and Nelson Mandela. Library of Congress.,Photograph of anti-apartheid protest or Mandela's release.,NO,SSP.01; SSP.02; SSP.05,Rights caution: most Mandela-era photos are under copyright — verify.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.71,"Analyze the political, economic, ethnic, and military challenges faced by newly-created countries in post-imperial Africa (e.g., civil war, genocide, corruption).",Yes,Congo Crisis and post-independence conflict,Photograph,press/UN photographers,1960s,U.S. National Archives (NARA),Rights vary by item — verify PD/commercial status at repository,NO,https://catalog.archives.gov/search?q=Congo+Crisis+1960+independence+conflict,search,Post-independence conflict in Africa (Congo Crisis). U.S. National Archives.,Photograph of conflict in newly independent Congo.,NO,SSP.01; SSP.02; SSP.05,Rights caution: verify individual item.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.71,"Analyze the political, economic, ethnic, and military challenges faced by newly-created countries in post-imperial Africa (e.g., civil war, genocide, corruption).",Yes,Map of independent post-colonial Africa,Map,U.S. government cartographers,1960s-1990s,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=independent+Africa+political+map+decolonization,search,Political map of independent Africa. Library of Congress.,Map of Africa's independent nations after decolonization.,NO,SSP.01; SSP.02; SSP.06,,OK
Creation of New States and Decolonization (1940s-1980s),W.72,"Explain how ideological conflicts between capitalism and communism led to armed insurgencies, revolutions, and military dictatorships in Latin American nations, including: Argentina, Colombia, Cuba, and Nicaragua.",Yes,"The Cuban Revolution and Fidel Castro, 1959",Photograph,press/U.S. government,1959,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Cuban+Revolution+1959+Castro,search,"The Cuban Revolution, 1959. Library of Congress.",Photograph of Fidel Castro and the 1959 Cuban Revolution.,NO,SSP.01; SSP.02; SSP.05,Rights caution: verify individual photo.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.72,"Explain how ideological conflicts between capitalism and communism led to armed insurgencies, revolutions, and military dictatorships in Latin American nations, including: Argentina, Colombia, Cuba, and Nicaragua.",Yes,U.S. Cold War intervention in Latin America (Nicaragua/Contras),Photograph / document,U.S. government,1980s,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Nicaragua+Contras+Cold+War+Latin+America,search,U.S. involvement in Latin America during the Cold War. U.S. National Archives.,Photograph/document of U.S.-backed conflict in Cold War Latin America.,NO,SSP.01; SSP.02; SSP.05,,OK
Creation of New States and Decolonization (1940s-1980s),W.73,"Describe how competing national, ethnic, and religious interests led to conflict and the establishment of new countries in the Balkans.",Yes,"Breakup of Yugoslavia / Bosnian War, 1990s",Photograph,U.S. military / press,1992-1995,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Bosnia+war+Yugoslavia+breakup+1990s,search,"The breakup of Yugoslavia, 1990s. U.S. National Archives.",Photograph from the Yugoslav Wars in the Balkans.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights (DoD imagery is PD).,OK
Creation of New States and Decolonization (1940s-1980s),W.73,"Describe how competing national, ethnic, and religious interests led to conflict and the establishment of new countries in the Balkans.",Yes,Map of the former Yugoslavia's successor states,Map,U.S. government cartographers,1990s,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=former+Yugoslavia+successor+states+map,search,Map of the former Yugoslavia. Library of Congress.,Map showing the successor states of the former Yugoslavia.,NO,SSP.01; SSP.02; SSP.06,,OK
